event_id,event_title,event_date,start_time,end_time,month_key,genre,duration_mins,avg_att_per_event,avg_ticket_price
1,“Walla Walla”: A Short Film Premiere,2023-01-22,1400.0,1600.0,2023-01-01,Film Screening,120,79.66666666666667,
2,Power House Movie: Sam Now,2023-01-25,1900.0,2200.0,2023-01-01,Film Screening,180,79.66666666666667,
3,Youtopia (film),2023-02-03,1900.0,2200.0,2023-02-01,Film Screening,180,381.5,15.125
4,Scout Durwood Live,2023-02-04,1900.0,2200.0,2023-02-01,Comedy Show,180,381.5,34.0196
5,Power House Movie: An Evening of Ukrainian Shorts,2023-03-01,1900.0,2100.0,2023-03-01,Film Screening,120,136.4,
6,Gina Chavez,2023-03-10,1900.0,2100.0,2023-03-01,Fundraiser / Gala,120,136.4,34.3934
7,Best of Movie Crush,2023-03-11,1800.0,2100.0,2023-03-01,Film Screening,180,136.4,16.0952
8,Little Watts: Leapin’ Louie,2023-03-12,1400.0,1530.0,2023-03-01,Musical,90,136.4,
9,“It’s A Lot”,2023-03-17,1900.0,2100.0,2023-03-01,Fundraiser / Gala,120,136.4,
10,Walla Walla Choral Society – A Night at the Theatre,2023-03-19,1500.0,1700.0,2023-03-01,Music Concert,120,136.4,
11,Little Watts: Peter and the Wolf,2023-03-23,1900.0,2000.0,2023-03-01,Musical,60,136.4,
12,Tel Aviv Wind Quintet,2023-03-24,1900.0,2200.0,2023-03-01,Musical,180,136.4,34.0255
13,Mike Delamont: “God is a Scottish Drag Queen” Part (2),2023-03-25,1900.0,2200.0,2023-03-01,Comedy Show,180,136.4,
14,Power House Movies: Seattle Jewish Film Festival – Selected Shorts,2023-03-29,1900.0,2030.0,2023-03-01,Film Screening,90,136.4,
15,The Wildcards,2023-04-01,1900.0,2200.0,2023-04-01,Theatre Play,180,79.11111111111111,43.0316
16,Mike Delamont: “God is a Scottish Drag Queen” Part (3),2023-04-22,1900.0,2200.0,2023-04-01,Comedy Show,180,79.11111111111111,
