survey_id,event_id,event_title,survey_date,source_of_hearing,age_group,annual_household_income,overal_event_expression,feeback_suggestion,genre,text_A,text_B,combined_text,sentiment_score,month_str
1,68.0,VISHNIAC,2024-03-27,"Poster, Social Media (Facebook, Twitter, Instagram)",56-65,"$200,001 or above","Although the volume was a little quiet for me in the back, I was in fact able to hear and found it to be a wonderful experience.  ",I always drink water at the shows and feel bad about the bottles. Maybe a water cooler would be nice? ,Musical,"Although the volume was a little quiet for me in the back, I was in fact able to hear and found it to be a wonderful experience.  ",I always drink water at the shows and feel bad about the bottles. Maybe a water cooler would be nice? ,"Although the volume was a little quiet for me in the back, I was in fact able to hear and found it to be a wonderful experience.   I always drink water at the shows and feel bad about the bottles. Maybe a water cooler would be nice? ",0.17321428571428574,2024-03-01
2,68.0,VISHNIAC,2024-03-27,Gesa Power House Theatre website (www.phtww.org),66+,"$50,001 - $100,000",Loved it!,"Totally enjoyed the event.
Thank you for offering this.",Musical,Loved it!,"Totally enjoyed the event.
Thank you for offering this.","Loved it! Totally enjoyed the event.
Thank you for offering this.",0.6875,2024-03-01
3,68.0,VISHNIAC,2024-03-27,Other,66+,"$50,001 - $100,000","Excellent film!  Sound quality was a little muddy and the screen seemed to be be a bit wavy, but not too bad.  And better to see this at your theater than on my computer or home TV.","I understand your preference for selling tickets in advance, but perhaps allow an option of not selecting seats? In this case the small-ish crowd ended up bunched together due to that requirement, and I was initially seated behind a really tall person. Luckily we were able to move down a few seats so I could see.
Also it looks like you are bringing more films to Gesa--great! I hope you'll send out emails about these.",Musical,"Excellent film!  Sound quality was a little muddy and the screen seemed to be be a bit wavy, but not too bad.  And better to see this at your theater than on my computer or home TV.","I understand your preference for selling tickets in advance, but perhaps allow an option of not selecting seats? In this case the small-ish crowd ended up bunched together due to that requirement, and I was initially seated behind a really tall person. Luckily we were able to move down a few seats so I could see.
Also it looks like you are bringing more films to Gesa--great! I hope you'll send out emails about these.","Excellent film!  Sound quality was a little muddy and the screen seemed to be be a bit wavy, but not too bad.  And better to see this at your theater than on my computer or home TV. I understand your preference for selling tickets in advance, but perhaps allow an option of not selecting seats? In this case the small-ish crowd ended up bunched together due to that requirement, and I was initially seated behind a really tall person. Luckily we were able to move down a few seats so I could see.
Also it looks like you are bringing more films to Gesa--great! I hope you'll send out emails about these.",0.12787698412698414,2024-03-01
4,68.0,VISHNIAC,2024-03-27,Walla Walla Union Bulletin,56-65,"$50,001 - $100,000","The documentary was fantastic, very interesting and the photography, spectacular.","Nice staff and volunteers, thank you.",Musical,"The documentary was fantastic, very interesting and the photography, spectacular.","Nice staff and volunteers, thank you.","The documentary was fantastic, very interesting and the photography, spectacular. Nice staff and volunteers, thank you.",0.45,2024-03-01
5,68.0,VISHNIAC,2024-03-27,Gesa Power House Theatre website (www.phtww.org),66+,"$50,001 - $100,000",very interesting film; no problems with showing; comfortable seating and viewing,,Musical,very interesting film; no problems with showing; comfortable seating and viewing,,very interesting film; no problems with showing; comfortable seating and viewing ,0.525,2024-03-01
6,68.0,VISHNIAC,2024-03-27,Gesa Power House Theatre website (www.phtww.org),56-65,"$50,001 - $100,000",Wonderful documentary!,,Musical,Wonderful documentary!,,Wonderful documentary! ,0.5,2024-03-01
7,68.0,VISHNIAC,2024-03-27,"Walla Walla Union Bulletin, Email",66+,,The quality of the documentary chosen to air at the theatre was exceptional.  More of that please!  Lighting and sound were very acceptable.,"One had to pay strict attention to what was enveloping on the screen.  Based on the rate at which the photos played through, it was quite literally like fast film.  What a treasure of a story and collection of memories.  Extremely touching that one would unwrap themselves and their family's true history before an audience.  A good educational experience.",Musical,The quality of the documentary chosen to air at the theatre was exceptional.  More of that please!  Lighting and sound were very acceptable.,"One had to pay strict attention to what was enveloping on the screen.  Based on the rate at which the photos played through, it was quite literally like fast film.  What a treasure of a story and collection of memories.  Extremely touching that one would unwrap themselves and their family's true history before an audience.  A good educational experience.","The quality of the documentary chosen to air at the theatre was exceptional.  More of that please!  Lighting and sound were very acceptable. One had to pay strict attention to what was enveloping on the screen.  Based on the rate at which the photos played through, it was quite literally like fast film.  What a treasure of a story and collection of memories.  Extremely touching that one would unwrap themselves and their family's true history before an audience.  A good educational experience.",0.38916666666666666,2024-03-01
8,,HILWIL,,Gesa Power House Theatre website (www.phtww.org),66+,"$100,001 - $200,000",Superb,"None: it was brilliantly conceived, directed, and executed.
A great performance.",,Superb,": it was brilliantly conceived, directed, and executed.
A great performance.","Superb : it was brilliantly conceived, directed, and executed.
A great performance.",0.9,
9,,HILWIL,,Word of Mouth,56-65,"$50,001 - $100,000",Wonderful,,,Wonderful,,Wonderful ,1.0,
10,,HILWIL,,"Social Media (Facebook, Twitter, Instagram)",56-65,"$50,001 - $100,000",Excellent! It was powerful and very well done in every respect.,,,Excellent! It was powerful and very well done in every respect.,,Excellent! It was powerful and very well done in every respect. ,0.5,
11,,HILWIL,,Email,66+,"$100,001 - $200,000",Excelent,,,Excelent,,Excelent ,0.0,
12,,HILWIL,,Walla Walla Union Bulletin,66+,"$50,001 - $100,000",Great,,,Great,,Great ,0.8,
13,,HILWIL,,Walla Walla Union Bulletin,66+,"$50,000 or below",Loved it!  Talent and expertise right here in Walla Walla.  Would attend any play that Nancy Simon directs and Tim Golden participates.  What a voice and important story!,,,Loved it!  Talent and expertise right here in Walla Walla.  Would attend any play that Nancy Simon directs and Tim Golden participates.  What a voice and important story!,,Loved it!  Talent and expertise right here in Walla Walla.  Would attend any play that Nancy Simon directs and Tim Golden participates.  What a voice and important story! ,0.4901785714285714,
14,,HILWIL,,"Email, Gesa Power House Theatre website (www.phtww.org)",56-65,"$100,001 - $200,000","Impressive, extremely relevant, a very powerful play to an appreciative packed house. The sound, staging and lobby setup were very professional and made the experience enjoyable.","The one element I would recommend is to turn the lights over the audience off.  If that is not possible because of safety regulations, at least they could be dimmed down to a level comfortable to be able to focus on the stage.",,"Impressive, extremely relevant, a very powerful play to an appreciative packed house. The sound, staging and lobby setup were very professional and made the experience enjoyable.","The one element I would recommend is to turn the lights over the audience off.  If that is not possible because of safety regulations, at least they could be dimmed down to a level comfortable to be able to focus on the stage.","Impressive, extremely relevant, a very powerful play to an appreciative packed house. The sound, staging and lobby setup were very professional and made the experience enjoyable. The one element I would recommend is to turn the lights over the audience off.  If that is not possible because of safety regulations, at least they could be dimmed down to a level comfortable to be able to focus on the stage.",0.32203703703703707,
15,,HILWIL,,Walla Walla Union Bulletin,66+,"$50,001 - $100,000","It was an exceptional performance of a riveting play.  The set and stage direction enhanced the play.  The sound was a bit muffled a few times.  I was in the second row.  It was chilly, but I expected that so brought a jacket.",,,"It was an exceptional performance of a riveting play.  The set and stage direction enhanced the play.  The sound was a bit muffled a few times.  I was in the second row.  It was chilly, but I expected that so brought a jacket.",,"It was an exceptional performance of a riveting play.  The set and stage direction enhanced the play.  The sound was a bit muffled a few times.  I was in the second row.  It was chilly, but I expected that so brought a jacket. ",0.09523809523809522,
16,,HILWIL,,"Walla Walla Union Bulletin, Poster, Gesa Power House Theatre website (www.phtww.org)",66+,"$50,001 - $100,000",The play was fantastic and the actor was perfect for the role.,,,The play was fantastic and the actor was perfect for the role.,,The play was fantastic and the actor was perfect for the role. ,0.7,
17,,HILWIL,,"Walla Walla Union Bulletin, Email, Gesa Power House Theatre website (www.phtww.org)",66+,"$50,000 or below",Quality presentation,,,Quality presentation,,Quality presentation ,0.0,
18,,HILWIL,,"Email, Other",66+,"$50,001 - $100,000",outstanding,We appreciated being able to attend an AFTERNOON performance as we live 40 miles away and do not drive after dark.  Thank you!,,outstanding,We appreciated being able to attend an AFTERNOON performance as we live 40 miles away and do not drive after dark.  Thank you!,outstanding We appreciated being able to attend an AFTERNOON performance as we live 40 miles away and do not drive after dark.  Thank you!,0.2297727272727273,
19,,HILWIL,,Gesa Power House Theatre website (www.phtww.org),66+,,Wonderful!  Wish more people had been there.,I was nearby when an older lady fell.  Staff was so great in dealing with the situation.  Found them seats more compatible with the woman’s needs and brought ice packs!   Kudos to staff!,,Wonderful!  Wish more people had been there.,I was nearby when an older lady fell.  Staff was so great in dealing with the situation.  Found them seats more compatible with the woman’s needs and brought ice packs!   Kudos to staff!,Wonderful!  Wish more people had been there. I was nearby when an older lady fell.  Staff was so great in dealing with the situation.  Found them seats more compatible with the woman’s needs and brought ice packs!   Kudos to staff!,0.6495833333333334,
20,,HILWIL,,Other,36-45,,Loved it! Tim was great and we'd been really looking forward to this performance.,,,Loved it! Tim was great and we'd been really looking forward to this performance.,,Loved it! Tim was great and we'd been really looking forward to this performance. ,0.625,
21,,HILWIL,,"Walla Walla Union Bulletin, Email",66+,,"Was impressed with the ability of the sole performer, Tim Golden, to execute the play for two hours straight without any breaks.  That's an arduous task considering the intensity of the subject matter.  This is a good way to open lines of communication and fulfill the need to educate people regarding the lack of equity for the black community.","Would have appreciated the house lights not shining directly at me throughout the event.  Made it difficult to watch the performer on stage as the glare was a bit overwhelming.  I had to keep my head down for a good portion of the play.  Despite that, it was good experience.  Many thanks to the Director, Nancy Simon, for bringing this to the Powerhouse.",,"Was impressed with the ability of the sole performer, Tim Golden, to execute the play for two hours straight without any breaks.  That's an arduous task considering the intensity of the subject matter.  This is a good way to open lines of communication and fulfill the need to educate people regarding the lack of equity for the black community.","Would have appreciated the house lights not shining directly at me throughout the event.  Made it difficult to watch the performer on stage as the glare was a bit overwhelming.  I had to keep my head down for a good portion of the play.  Despite that, it was good experience.  Many thanks to the Director, Nancy Simon, for bringing this to the Powerhouse.","Was impressed with the ability of the sole performer, Tim Golden, to execute the play for two hours straight without any breaks.  That's an arduous task considering the intensity of the subject matter.  This is a good way to open lines of communication and fulfill the need to educate people regarding the lack of equity for the black community. Would have appreciated the house lights not shining directly at me throughout the event.  Made it difficult to watch the performer on stage as the glare was a bit overwhelming.  I had to keep my head down for a good portion of the play.  Despite that, it was good experience.  Many thanks to the Director, Nancy Simon, for bringing this to the Powerhouse.",0.20895061728395062,
22,,HILWIL,,Email,66+,"$50,001 - $100,000",Sterling event with a magnetic and brilliant performer; left with my brain fully engaged. No intermissions and the time flew. Everything worked wonderfully--thank you!,,,Sterling event with a magnetic and brilliant performer; left with my brain fully engaged. No intermissions and the time flew. Everything worked wonderfully--thank you!,,Sterling event with a magnetic and brilliant performer; left with my brain fully engaged. No intermissions and the time flew. Everything worked wonderfully--thank you! ,0.45,
23,,HILWIL,,"Email, Gesa Power House Theatre website (www.phtww.org)",66+,"$50,001 - $100,000","Great show. Good value, good logistics and a little known story that’s important to hear. 
Well done.",,,"Great show. Good value, good logistics and a little known story that’s important to hear. 
Well done.",,"Great show. Good value, good logistics and a little known story that’s important to hear. 
Well done. ",0.48250000000000004,
24,,HILWIL,,Poster,56-65,"$50,001 - $100,000","Wonderful!  Enjoyed the music, lighting, sound.  The artist was exceptional!",,,"Wonderful!  Enjoyed the music, lighting, sound.  The artist was exceptional!",,"Wonderful!  Enjoyed the music, lighting, sound.  The artist was exceptional! ",0.6833333333333333,
25,,HILWIL,,Email,66+,"$50,001 - $100,000",Excellent!,I can't think of anything.,,Excellent!,I can't think of anything.,Excellent! I can't think of anything.,1.0,
26,,Grapefruit,,"Social Media (Facebook, Twitter, Instagram)",66+,"$50,001 - $100,000","Good.,",Did not enjoy the movie. Left early ,,"Good.,",Did not enjoy the movie. Left early ,"Good., Did not enjoy the movie. Left early ",0.15,
27,,Grapefruit,,Email,66+,"$50,000 or below","All was wonderful except one excerpt in the film where the sound was quite muffled. Others noticed it, as well.   But I loved the film! ","I had a very nice experience, overall. Thank you!",,"All was wonderful except one excerpt in the film where the sound was quite muffled. Others noticed it, as well.   But I loved the film! ","I had a very nice experience, overall. Thank you!","All was wonderful except one excerpt in the film where the sound was quite muffled. Others noticed it, as well.   But I loved the film!  I had a very nice experience, overall. Thank you!",0.611,
28,,Grapefruit,,Gesa Power House Theatre website (www.phtww.org),56-65,"$100,001 - $200,000",Great!,,,Great!,,Great! ,1.0,
29,,Grapefruit,,Email,36-45,"$100,001 - $200,000","Excellent. I'm glad I went, and I was disappointed that so few people attended. The film was excellent.",,,"Excellent. I'm glad I went, and I was disappointed that so few people attended. The film was excellent.",,"Excellent. I'm glad I went, and I was disappointed that so few people attended. The film was excellent. ",0.31,
